station_file,source,station_name,district,lat,lon,monthly_points,mean_level,trend_slope_m_per_year,trend_pval,mk_pval,anomaly_months
Anantapur_Agali_Agali_Cgwb_Manual_Bisrasar.xlsx,Manual,,ANANTAPUR,28.8667,74.2778,347,45.19393970990422,-0.7414857366841447,2.2121036006178825e-10,0.0,5
Anantapur_Agali_Agali_Cgwb_Manual_Bontula_dinne1.xlsx,Manual,,ANANTAPUR,14.8417,78.0933,63,3.664285727909633,4.889999832425799,0.42609912338750017,0.22955621387891956,0
Anantapur_Agali_Agali_Cgwb_Manual_Borgaon.xlsx,Manual,,ANANTAPUR,20.5075,73.7539,57,5.392857117312295,-2.2681318272601123,0.17759209285616567,0.4115475329470528,1
Anantapur_Agali_Agali_Cgwb_Manual_Borgaon_manju.xlsx,Manual,,ANANTAPUR,20.7333,77.1278,313,4.036521732807159,0.14610545276546424,0.15820283824058584,0.45603655555383327,4
Anantapur_Agali_Agali_Cgwb_Manual_Bote.xlsx,Manual,,ANANTAPUR,19.2778,74.2278,313,5.441382958533916,0.07566896127930173,0.29333392772644057,0.24891300516670478,2
Anantapur_Agali_Agali_Cgwb_Manual_Brahmanapalli-ewl.xlsx,Manual,,ANANTAPUR,14.6608,77.5756,13,2.474999964237213,2.447999668121338,0.4457259093255701,0.3081795474670539,0
Anantapur_Agali_Agali_Cgwb_Manual_Brahmanapalli-ewll.xlsx,Manual,,ANANTAPUR,14.6608,77.5756,13,2.3150000274181366,2.303999662399293,0.334439842209483,0.7340951823194757,0
Anantapur_Agali_Agali_Cgwb_Manual_Brahmanapalli-nqm.xlsx,Manual,,ANANTAPUR,14.6608,77.5756,7,1.8233333428700764,-5.220000743865965,0.21530827957222776,0.2962698714842864,0
Anantapur_Agali_Agali_Cgwb_Manual_Budipalli.xlsx,Manual,,ANANTAPUR,13.9667,77.1667,332,8.558523796427817,-0.3106604842904344,0.004956245715225281,0.0003507141434666572,3
Anantapur_Agali_Agali_Cgwb_Manual_Bullasamudram-pz.xlsx,Manual,,ANANTAPUR,13.9278,77.3203,73,11.074545486406846,-7.893438725064934,0.00030149060554618824,0.0005813973809076778,1
Anantapur_Agali_Agali_Cgwb_Manual_Chalivendla-pz.xlsx,Manual,,ANANTAPUR,13.8897,77.6075,73,47.065554870499504,-75.41770748162048,1.1730877089598624e-05,0.00037014382799460677,0
Anantapur_Agali_Agali_Cgwb_Manual_Chandanapuri.xlsx,Manual,,ANANTAPUR,19.4833,74.2,313,15.928958368798098,-0.19940150453548863,0.432852423456772,0.7927707474870227,2
Anantapur_Agali_Agali_Cgwb_Manual_Chani.xlsx,Manual,,ANANTAPUR,20.4611,76.775,313,7.225232551264209,0.21494485067024482,0.06722117055786822,0.5407397119482615,6
Anantapur_Agali_Agali_Cgwb_Manual_Charupalle-nqm.xlsx,Manual,,ANANTAPUR,14.195,78.0764,16,7.3500001430511475,4.608000183105469,0.5872542735392197,0.7340951823194757,0
Anantapur_Agali_Agali_Cgwb_Manual_Chas.xlsx,Manual,,ANANTAPUR,19.0,74.6333,306,5.731931811029261,0.06520622265577812,0.5067990149750695,0.5690530240624387,4
Anantapur_Agali_Agali_Cgwb_Manual_Chas_pz.xlsx,Manual,,ANANTAPUR,19.0328,74.6483,78,12.616190615154448,-9.940987074220335,0.00641589921725857,0.006573284569783899,0
Anantapur_Agali_Agali_Cgwb_Manual_Chauluru-bh.xlsx,Manual,,ANANTAPUR,13.7,77.4889,332,12.330470559176277,1.3964486936025382,0.004836458710268238,0.0008376835007957162,4
Anantapur_Agali_Agali_Cgwb_Manual_Chennakothapalle-ow.xlsx,Manual,,ANANTAPUR,14.27,77.6264,13,3.97,29.099999999999998,0.17926209201538354,0.2962698714842864,0
Anantapur_Agali_Agali_Cgwb_Manual_Chenna_kothapalli-pz.xlsx,Manual,,ANANTAPUR,14.2711,77.6222,332,10.161584193163579,-0.06350286350461297,0.7295923637167461,0.9906355888165848,4
Anantapur_Agali_Agali_Cgwb_Manual_Cheruvukinda_palli_somagattu-nqm.xlsx,Manual,,ANANTAPUR,13.8808,77.8103,13,6.960000038146973,,,,0
Anantapur_Agali_Agali_Cgwb_Manual_Chhara.xlsx,Manual,,ANANTAPUR,28.7,76.7167,323,5.49500002215306,-0.13739936208828463,0.003683991679582068,0.006804278953444598,4
Anantapur_Agali_Agali_Cgwb_Manual_Chichondi_patil.xlsx,Manual,,ANANTAPUR,19.0014,74.9167,109,9.025333333015443,-3.671492745481157,0.00316538316276502,0.0013209656271617742,0
Anantapur_Agali_Agali_Cgwb_Manual_Chikhale.xlsx,Manual,,ANANTAPUR,18.8667,74.7167,306,7.989545468579639,0.13886162623863324,0.20502996409573554,0.1347322042697745,4
Anantapur_Agali_Agali_Cgwb_Manual_Chikhalwal_(navegaon)_pz.xlsx,Manual,,ANANTAPUR,20.3458,76.875,265,7.481086964192598,0.41513416332629527,0.3254348704103993,0.5699744628597805,3
Anantapur_Agali_Agali_Cgwb_Manual_Chinchandi_patil.xlsx,Manual,,ANANTAPUR,19.0014,74.9167,193,4.319615382593698,0.6335627033363196,0.06896911070622584,0.16013680984404388,2
Anantapur_Agali_Agali_Cgwb_Manual_Chinnampalli-ew.xlsx,Manual,,ANANTAPUR,14.4897,77.0603,13,7.0849999487400055,21.360001802444465,0.5245875997021251,0.7340951823194757,0
